case_id,min,max,length,unnormal_indices
CP_00_07311519_00091,-264.0,727.0,52,
CP_00_07311617_00075,-165.0,623.0,51,
CP_00_07311659_00092,-99.0,581.0,49,
CP_00_08011404_00091,-246.0,664.0,130,
CP_00_08011655_00091,-240.0,605.0,51,
CP_00_08021428_00023,-281.0,726.0,53,
CP_00_08021444_00117,-99.0,613.0,49,
CP_00_08021540_00090,-235.0,666.0,48,8;10
CP_00_08021604_00093,-231.0,620.0,117,
CP_00_08021617_00087,-251.0,665.0,52,
CP_00_08021755_00092,-99.0,605.0,67,
CP_00_08030902_00087,-257.0,657.0,81,
CP_00_08031234_00093,-178.0,529.0,49,
CP_00_08031309_00088,-328.0,675.0,88,
CP_00_08031419_00091,-310.0,654.0,76,
CP_00_08031452_00092,-99.0,554.0,50,
CP_00_08031921_00092,-99.0,570.0,49,
CP_00_08032206_00090,-193.0,585.0,47,
CP_00_08040643_00087,-293.0,611.0,101,
CP_00_08040657_00087,-187.0,514.0,51,
CP_00_08041115_00023,-262.0,598.0,64,
CP_00_08041227_00150,-99.0,563.0,50,
CP_00_08041350_00088,-271.0,666.0,96,
CP_00_08041512_00092,-99.0,576.0,63,
CP_00_08041536_00088,-293.0,563.0,52,
CP_00_08051609_00093,-242.0,647.0,49,
CP_00_08051701_00092,-99.0,576.0,49,
CP_00_08051848_00094,-183.0,590.0,49,
CP_00_08061021_00092,-99.0,602.0,48,
CP_00_08061347_00092,-99.0,600.0,57,
CP_00_08061431_00087,-354.0,704.0,52,
CP_00_08061614_00091,-237.0,646.0,56,
CP_00_08061648_00092,-99.0,613.0,48,
CP_00_08061720_00090,-161.0,561.0,50,
CP_00_08071139_00092,-99.0,552.0,49,
CP_00_08071234_00087,-268.0,613.0,52,
CP_00_08071313_00090,-161.0,593.0,50,
CP_00_08071319_00092,-99.0,598.0,49,
CP_00_08071415_00117,-99.0,604.0,66,
CP_00_08071424_00088,-233.0,704.0,76,
CP_00_08071445_00088,-242.0,626.0,52,
CP_00_08071513_00091,-245.0,680.0,74,
CP_00_08071811_00088,-261.0,640.0,62,
CP_00_08071858_00088,-240.0,675.0,153,
CP_00_08072024_00091,-233.0,549.0,135,
CP_00_08080143_00088,-199.0,646.0,53,
CP_00_08080711_00023,-259.0,568.0,61,
CP_00_08081013_00150,-99.0,560.0,87,
CP_00_08081031_00091,-198.0,548.0,138,
CP_00_08081428_00090,-278.0,657.0,49,
CP_00_08081506_00023,-264.0,671.0,77,
CP_00_08081622_00093,-222.0,562.0,61,
CP_00_08081829_00097,-200.0,621.0,52,
CP_00_08082017_00087,-270.0,579.0,116,
CP_00_08082221_00090,-156.0,549.0,47,
CP_00_08090108_00087,-232.0,554.0,52,
CP_00_08090128_00023,-196.0,620.0,64,
CP_00_08090302_00090,-252.0,588.0,50,
CP_00_08090327_00093,-195.0,660.0,71,
CP_00_08090512_00092,-99.0,570.0,113,
CP_00_08090815_00090,-200.0,550.0,62,
CP_00_08090852_00090,-163.0,514.0,47,
CP_00_08091216_00075,-187.0,580.0,51,
CP_00_08091744_00088,-205.0,540.0,53,
CP_00_08091855_00093,-194.0,642.0,49,
CP_00_08092244_00090,-264.0,570.0,116,
CP_00_08101330_00090,-211.0,550.0,47,
CP_00_08101425_00117,-99.0,495.0,65,
CP_00_08111634_00093,-182.0,670.0,49,
CP_00_08120657_00090,-218.0,510.0,110,
CP_00_08120934_00087,-213.0,550.0,85,
CP_00_08121627_00074,-183.0,633.0,51,
CP_00_08122359_00097,-259.0,600.0,59,
CP_00_08130206_00092,-99.0,539.0,133,
CP_00_08130352_00090,-243.0,507.0,77,
CP_00_08130700_00090,-211.0,541.0,78,
CP_00_08131729_00088,-205.0,585.0,93,
CP_00_08131754_00092,-99.0,569.0,54,
CP_00_08131830_00150,-99.0,460.0,49,
CP_00_08140819_00090,-242.0,549.0,113,
CP_00_08141141_00150,-99.0,520.0,115,
CP_00_08141249_00093,-196.0,477.0,49,
CP_00_08141307_00092,-99.0,555.0,48,
CP_00_08151458_00088,-253.0,592.0,63,
CP_00_08151505_00092,-99.0,600.0,62,
CP_00_08160454_00090,-186.0,530.0,49,
CP_00_08160510_00093,-249.0,517.0,79,
CP_00_08160537_00087,-283.0,643.0,83,
CP_00_08160841_00090,-187.0,539.0,60,
CP_00_08160841_00092,-99.0,540.0,73,
CP_00_08161309_00150,-99.0,513.0,91,
CP_00_08161407_00088,-191.0,649.0,52,
CP_00_08170832_00092,-99.0,470.0,49,
CP_00_08170834_00093,-227.0,496.0,49,
CP_00_08171118_00088,-205.0,543.0,53,
